District,01-08-2021,02-08-2021,03-08-2021,04-08-2021,05-08-2021,06-08-2021,07-08-2021,08-08-2021,09-08-2021,10-08-2021,11-08-2021,12-08-2021,13-08-2021,14-08-2021,15-08-2021,16-08-2021,17-08-2021,18-08-2021,19-08-2021,20-08-2021,21-08-2021,22-08-2021,23-08-2021,24-08-2021,25-08-2021,26-08-2021,27-08-2021,28-08-2021,29-08-2021,30-08-2021,31-08-2021,01-09-2021,02-09-2021,03-09-2021,04-09-2021,05-09-2021,06-09-2021,07-09-2021,08-09-2021,09-09-2021,10-09-2021,11-09-2021,12-09-2021,13-09-2021,14-09-2021,15-09-2021,16-09-2021,17-09-2021,18-09-2021,19-09-2021,20-09-2021,21-09-2021,22-09-2021,23-09-2021,24-09-2021,25-09-2021,26-09-2021,27-09-2021,28-09-2021,29-09-2021,30-09-2021,01-10-2021,02-10-2021,03-10-2021,04-10-2021,05-10-2021,06-10-2021,07-10-2021,08-10-2021,09-10-2021,10-10-2021,11-10-2021,12-10-2021,13-10-2021,14-10-2021,15-10-2021,16-10-2021,17-10-2021,18-10-2021,19-10-2021,20-10-2021,21-10-2021,22-10-2021,23-10-2021,24-10-2021,25-10-2021,26-10-2021,27-10-2021,28-10-2021,29-10-2021,30-10-2021,31-10-2021,Mean Vaccination
Zunheboto,42868,43132,43256,43306,43315,43450,43462,43462,43610,43731,43744,43755,43872,43894,43943,44007,44129,44166,44181,44273,44379,44379,44531,44664,44683,44683,44805,44811,44811,44839,45048,45098,45173,45366,45429,45618,45947,46407,46700,47079,47471,47731,48401,49103,49509,49715,49968,50405,50424,51197,51939,52272,52494,52632,52909,52996,53405,54466,54803,54872,54950,55142,55179,55459,55815,56044,56096,56166,56438,56507,56876,57369,57881,57887,58026,58158,58158,58337,58704,58802,58845,58998,59108,59111,59276,59940,59995,60117,60133,60238,60272,60414,50643.0
Angul,388026,391784,396063,402077,407990,414753,420439,420606,427190,433281,439920,446258,452699,458661,459002,464740,471290,478026,480658,482853,485005,485150,489055,492543,496376,503096,509641,515655,516045,522077,527381,537078,547216,556864,565831,566332,576330,586047,595431,606492,621449,632554,633435,634600,648927,665150,679193,701612,710625,711535,728722,739619,757600,774406,778872,781317,781721,783292,784584,802475,820678,824045,838193,839672,854657,862469,863715,864667,881647,897980,899032,914812,929316,942235,954450,962288,968042,968409,981348,993527,1003066,1013291,1022898,1032702,1033071,1042194,1049536,1056171,1062826,1070793,1078031,1078078,699690.0
Balangir,487241,501824,511536,515918,529995,543073,551841,551841,555840,573181,591103,604889,622228,635030,635030,641450,641450,658777,666113,666379,666340,666340,666340,682327,684481,684769,703717,719025,719025,733134,740277,740583,740777,758884,776231,776231,790484,802577,809484,818219,821679,821679,821679,831511,839151,855085,870906,894852,900805,900805,919578,938053,955102,971650,983767,989001,989001,989721,1003424,1016221,1028470,1035169,1036500,1036500,1052416,1066961,1077596,1082360,1083552,1095398,1095398,1105881,1111056,1115851,1123136,1129814,1138027,1138028,1149215,1160366,1170712,1181471,1191652,1200761,1200761,1211856,1221329,1231319,1241579,1251112,1259939,1259939,882193.0
Balasore,815529,827714,834863,835106,851462,870159,883182,883234,899518,915652,919311,919333,938958,954009,954032,974708,975267,975352,975389,975418,975428,975428,998175,1000092,1000516,1000560,1020318,1032926,1032939,1032973,1053034,1070292,1072258,1095299,1117753,1117882,1139718,1141269,1141353,1164596,1164644,1185341,1185389,1210388,1233480,1236992,1259877,1296839,1300656,1301551,1325828,1330465,1360127,1388843,1422047,1431760,1432364,1434166,1434884,1468727,1499675,1504940,1507047,1507072,1539036,1567444,1571923,1575591,1576755,1578650,1580103,1612340,1640752,1640779,1668473,1670411,1678694,1678985,1705682,1728116,1730005,1751994,1764777,1770709,1771829,1797640,1821035,1842084,1856604,1873984,1883969,1885417,1299434.0
Bargarh,447918,457496,464123,467325,476654,486947,491603,491603,496097,507225,518552,529042,534695,538417,538417,548572,554821,556097,560985,561697,562811,562837,562900,574474,583025,584222,584255,585889,585889,586388,600655,613193,622389,626648,635500,635720,650605,665958,680806,691790,691801,691801,691801,705846,720016,735201,750459,774720,780627,780629,795313,806488,812951,826191,840737,847680,847680,850129,851161,867365,883464,892169,892816,892816,909881,926036,930554,932683,933130,933130,933141,948983,955143,960481,968429,975743,983750,983750,996989,1008605,1014552,1018633,1020843,1028837,1028838,1043565,1057751,1069361,1080632,1093602,1112859,1113058,756707.0
Bhadrak,545705,559487,563860,578726,589597,594670,594717,594718,610554,626824,630911,647422,661225,668992,669039,684292,686403,686406,686422,686438,686451,686458,702672,709855,710004,728778,742609,761160,761209,776020,780390,798178,816246,834768,852372,852483,859354,859378,859428,878631,899111,907063,907153,925827,944376,963937,982749,1008388,1019105,1019149,1039682,1058722,1077510,1095629,1113620,1131810,1131840,1137979,1148260,1163726,1172650,1179358,1193882,1193904,1208063,1216682,1222538,1226210,1230600,1241581,1241609,1254335,1263417,1263430,1274110,1283842,1292450,1292665,1303228,1309763,1315328,1323948,1332942,1341362,1341721,1352442,1360925,1369582,1379358,1387700,1394421,1394438,978880.0
Boudh,134514,135652,138057,140342,141818,144381,146601,148306,149495,152511,154991,157547,160132,161917,163645,164688,167127,169520,171755,173534,176640,178560,180319,182522,184725,187268,190349,192282,194977,196880,199685,202148,205325,208414,211021,213107,215533,218699,221487,224040,225983,226878,227901,229252,231554,233743,236855,241055,243037,245325,248457,253525,258539,263004,266967,271252,274674,277800,280874,283655,287085,289326,292043,294281,296034,299481,301136,303882,305665,308108,309074,310410,312173,313423,314237,314381,315050,315262,316121,317967,319502,322083,324960,326612,327859,329610,331938,335836,340755,343852,349541,351622,241306.0
Cuttack,1082385,1090261,1105096,1118458,1130213,1136881,1140643,1140856,1153909,1172047,1185170,1194420,1206884,1214933,1215329,1223064,1235875,1243136,1249542,1250967,1253061,1253491,1266809,1274191,1277635,1285088,1298738,1307870,1308774,1310761,1324618,1342365,1362708,1382729,1400596,1401415,1409508,1425439,1442798,1462023,1467006,1476189,1476692,1486598,1495374,1512987,1533353,1559945,1568662,1570832,1591850,1610084,1618443,1623088,1626806,1638608,1639457,1646974,1649674,1672485,1692794,1709546,1714573,1715574,1734619,1750873,1756684,1763838,1765262,1784536,1785702,1804948,1823742,1846478,1862143,1870167,1886875,1887918,1912053,1935881,1954367,1977589,1996047,2014461,2015704,2035639,2052724,2073433,2095458,2115851,2132944,2136802,1547294.0
Deogarh,107496,110600,111915,112600,116865,118973,120086,120373,125226,127548,129518,135810,137921,139987,140091,142755,144741,145160,149747,150723,150915,150916,157499,159896,161100,161781,161790,162730,162732,169233,174407,177102,182145,184520,185152,185152,192107,196660,199006,205045,207268,208142,208145,213417,215866,218405,223868,226613,227431,227806,232045,234728,236800,241451,243648,244876,245083,248106,250097,251742,255723,257742,258731,258964,261944,263502,264785,267357,268496,269300,269306,271401,272660,273440,274714,275059,275549,275552,277579,278262,278854,280237,280724,281173,281227,282942,283698,284139,286088,286676,286995,287132,211343.0
Dhenkanal,418350,420846,431486,442406,445789,449047,460067,460969,472161,482464,491725,492581,502962,513007,514033,515902,526699,528759,528824,528875,528958,528958,529035,537586,537927,538008,548520,559507,560110,572167,572654,585308,597782,610593,622762,623518,633416,643805,656937,669762,671993,684482,685126,693165,704670,714115,721789,741292,747004,748065,760998,774138,786710,800047,806606,810704,811019,811621,816552,828879,842067,849611,852055,852083,863919,875512,881095,881634,882017,891985,892418,902578,912154,920962,928863,929129,935714,935944,944566,952227,958650,965641,972523,979487,979636,987180,993962,1000933,1008050,1014769,1021069,1021265,719923.0
Gajapati,208557,210012,212540,215001,217935,221050,223475,224283,225794,228817,232241,235190,237985,240706,241954,243968,246446,249173,251835,253914,256428,257018,259331,261936,264881,267612,270184,273224,274872,277564,280220,283126,285934,289742,292549,293781,295552,297990,300492,303082,304537,307625,308194,311241,314452,317416,321236,325033,327186,327677,330398,333257,335896,338707,341341,344671,345116,345182,347818,350745,353680,356281,358953,358963,360632,362414,364557,366611,368582,370236,370949,372657,374321,375544,376478,376591,378172,378289,379423,380643,382716,384474,386046,388141,388786,390556,393073,395139,397727,400707,403009,404498,313945.0
Ganjam,1854264,1859549,1866544,1872266,1877277,1885296,1888867,1889032,1900413,1918397,1932028,1942890,1950588,1985263,1988520,2024841,2066408,2105668,2138833,2168342,2192889,2194223,2210648,2230433,2246356,2259149,2280900,2303142,2303877,2332014,2373660,2406128,2445981,2499276,2550122,2556380,2596576,2641618,2679934,2718292,2726623,2759026,2762435,2803860,2839297,2864400,2879504,2931665,2948752,2950480,2987171,3027062,3067452,3098505,3121008,3155422,3155976,3156104,3186260,3219987,3253048,3285230,3324758,3326774,3369340,3400059,3424837,3455345,3490636,3525343,3526952,3560230,3586620,3609756,3625256,3628303,3642876,3643210,3670896,3690663,3702470,3722025,3747337,3772753,3773591,3795140,3822382,3845183,3868620,3891634,3911023,3913309,2854168.0
Jagatsinghpur,382977,383884,390121,392374,399479,406565,407752,407752,413044,416098,425412,434366,439793,442739,442739,451793,452248,454715,455089,455758,457402,457402,467205,467615,471777,472452,472663,482276,482276,482276,492250,501390,511308,521592,528443,528495,539094,547954,554615,565477,565477,574808,574810,582415,582975,583330,597279,613511,615031,615041,629499,643719,660772,667245,667737,679842,679842,680565,681518,699177,717298,717826,717826,717826,730965,744031,744274,744526,744812,763189,763190,781154,781551,792371,806339,819425,819426,819426,833433,847019,859173,870632,883024,896847,896847,905443,914531,924070,934772,944454,950174,950174,623797.0
Jajpur,557345,560166,580644,596971,606902,620343,620534,620534,639837,656250,662702,663743,683860,692432,692452,692661,696561,712066,713162,713260,713404,713409,732490,736126,737158,738853,759155,761707,761757,762227,782538,807151,829595,850582,867506,867555,885527,897472,921369,947634,947919,969204,969377,984887,1004462,1021280,1030359,1048969,1053565,1053661,1080212,1101219,1109535,1132511,1142485,1145627,1145649,1145975,1146247,1169829,1190497,1203233,1206978,1206996,1227751,1242649,1249846,1255117,1256415,1272726,1272839,1288624,1301211,1314050,1326913,1335545,1343893,1343900,1355000,1364770,1373704,1383082,1393182,1402802,1402851,1414271,1423241,1434349,1446906,1460170,1471037,1471048,1011894.0
Jharsuguda,257128,261469,265993,269659,273612,277846,282405,282406,286970,291773,296594,301347,306282,310896,310896,315356,319781,324048,328262,332110,335397,335403,339113,343770,349092,354624,360724,366871,366871,373273,379975,386465,392584,398697,405674,405674,411852,417446,422753,427941,429634,429982,430018,434928,440759,447608,454514,464012,466271,466271,473221,478763,484974,490851,496545,502246,502246,507292,512111,515747,519936,523745,526848,526848,530922,533670,536409,539024,541275,543286,543286,545390,546740,547901,549566,550581,552027,552027,554928,557158,559310,561974,564516,567292,567293,571919,575393,578490,583246,586073,589205,589205,441440.0
Kalahandi,484366,491559,498633,504724,512156,521318,527451,528506,537570,549145,560771,570059,575000,585057,586977,596444,603983,615158,620021,620984,621140,621210,631980,640055,643415,646021,657800,667579,669750,678155,683165,685125,686606,698142,709787,712294,721460,730668,739874,746599,749852,749956,749956,756682,764682,778675,794641,812415,817203,818767,839079,862934,884218,895248,899241,915453,919876,920056,928464,948755,964569,971703,973387,974255,992725,1006331,1017807,1021524,1021912,1022327,1022654,1038455,1054163,1065938,1076748,1082304,1091231,1093593,1103609,1111394,1123588,1136785,1148330,1158360,1160823,1171275,1183002,1192333,1202921,1214176,1223950,1225963,829728.0
Kandhamal,244303,245676,247894,249323,251313,255052,258127,259953,262564,267378,270977,276128,280031,283030,283849,286129,289997,293566,297642,299555,302086,302770,305254,307947,310927,314416,318063,321035,322477,324582,328217,331744,335677,339195,342331,343826,346572,349347,355108,361334,364703,368546,370041,372259,377075,382228,388013,395161,398247,399929,405576,411292,417161,423090,428789,433296,435369,435422,439810,444955,449142,452260,455308,456856,459784,464117,466680,470398,473186,475967,477104,479186,482329,484189,485561,486539,488469,489281,492481,496189,498222,501758,505570,508525,509546,512558,516464,519802,523571,528446,533370,534746,388413.0
Kendrapara,509279,518804,530492,541911,553344,555623,566824,567014,578483,590334,601969,610712,612537,624432,624532,636079,638066,649730,658994,659715,659917,659942,659942,672002,683632,683769,695400,706827,706977,718372,730185,741739,753376,765017,776496,776653,788301,799993,811792,823686,835444,847809,847925,858593,871665,885552,899749,913226,916205,916301,932275,948279,963907,979688,982715,982716,982716,982716,982716,999603,1016552,1026718,1028852,1028963,1044979,1060112,1061466,1061523,1061523,1077348,1077442,1092593,1105921,1118260,1129699,1139685,1143879,1143890,1146622,1158613,1169033,1180241,1191147,1200971,1201091,1212588,1222836,1232614,1242967,1252332,1261392,1264023,884006.0
Kendujhar,555621,567851,576905,584444,601042,614329,619081,619376,635203,653117,656026,662724,679370,689235,689860,706122,713620,714922,715023,715058,715145,715150,731845,736523,737222,744321,760077,769538,771894,789133,798728,800269,811622,834424,852712,856144,877500,889817,892622,903538,916012,934270,937412,945216,948628,965599,981377,1004395,1010169,1011622,1032735,1043145,1057581,1085765,1114401,1134861,1136773,1141054,1144222,1147269,1156535,1178675,1189087,1189442,1210845,1230475,1237461,1242778,1244916,1245712,1245905,1267133,1290692,1306121,1321287,1327732,1330496,1330991,1345939,1361014,1368761,1377261,1385473,1390470,1391579,1398383,1406149,1420597,1436472,1450901,1462500,1463596,998424.0
Khordha,2262723,2280781,2301934,2323806,2344322,2367626,2386999,2387406,2411236,2433208,2454415,2468312,2485420,2502957,2503303,2517244,2527887,2541504,2552063,2560660,2572288,2572331,2581337,2593020,2605361,2615593,2629691,2647826,2651241,2667188,2681229,2693882,2713013,2735095,2755348,2760017,2780553,2802111,2820973,2841184,2853479,2875819,2878781,2893866,2916576,2937929,2956206,2982683,2990189,2993112,3019126,3044712,3070924,3089743,3102327,3116876,3117006,3117360,3131838,3155313,3172566,3185018,3193601,3197221,3213562,3235689,3253557,3269154,3283353,3298904,3302519,3324091,3341116,3355340,3368786,3373184,3382507,3385541,3404113,3422279,3436308,3449215,3462023,3478235,3481592,3497618,3513140,3526300,3540688,3553587,3564134,3566184,2941392.0
Koraput,541070,548820,559438,568154,571646,576921,578548,579688,585235,596998,610282,622499,633777,645615,652648,659334,673875,685137,696213,700274,703083,703924,712115,723033,730005,733483,742760,752841,756654,763515,773487,781702,790183,800362,809993,824085,834134,844860,854983,864378,872703,880408,885934,894022,903938,915870,927496,943646,950593,955602,964308,977594,989275,1000188,1010821,1022573,1027330,1029945,1037220,1048061,1058476,1069028,1078275,1083559,1089010,1097717,1104028,1110809,1116824,1123330,1127071,1131951,1138951,1144802,1150414,1153183,1160015,1163413,1168546,1175801,1181222,1189261,1197031,1205882,1211124,1217712,1228276,1234581,1241815,1249834,1256877,1259836,914586.0
Malkangiri,184373,186936,189692,191578,194154,196718,198951,199583,202120,204754,206921,209390,212318,215272,216229,218431,221242,224368,227653,230072,233024,233038,235015,237813,240066,242825,245842,247715,248023,250428,253635,256498,258868,261552,265734,267920,271438,274520,278192,281990,284606,288298,291213,296105,300896,306812,313879,324294,328944,335338,343769,351056,356953,363620,369228,375416,378942,382849,387100,391756,396357,402101,407114,410416,414783,419666,424095,427824,430624,434417,436849,439668,444493,449459,454291,456329,460727,467062,471411,476491,480863,484871,490186,495893,500125,502802,506575,510950,514691,519769,525218,529715,334476.0
Mayurbhanj,691593,702713,712957,718117,729084,742754,752437,752717,766906,780843,791256,793661,808991,821858,822164,836233,840587,841414,841645,841645,841650,841650,853198,860771,862660,863914,877835,889216,889388,903623,917942,923581,937317,955014,969869,970580,982698,988419,992960,1005219,1011126,1019615,1020280,1025535,1035546,1051476,1065282,1077204,1082717,1083079,1099564,1106795,1127757,1152664,1178868,1198421,1199390,1211621,1213887,1214634,1239403,1261294,1272327,1273357,1299074,1319342,1327815,1328972,1328981,1328983,1328986,1353336,1375773,1385155,1399482,1409467,1419030,1419457,1435491,1453839,1464909,1482108,1500614,1512053,1513366,1533549,1554233,1571299,1590703,1613786,1632212,1635851,1104965.0
Nabarangapur,317122,321347,327372,335100,340627,344421,345534,345668,353274,362717,372409,381909,390436,398854,399047,408442,419822,429611,438822,444875,447460,447460,454985,463729,470126,473378,478936,487474,488031,497025,506679,512736,522220,531549,540677,541085,549561,557037,566242,573848,578365,581940,582077,589013,595838,601939,610396,620912,626656,626913,636076,646767,656157,665749,675539,683983,684125,684125,692969,702252,711170,719075,726213,726327,733389,741486,748186,754733,759266,764199,764291,770809,777731,783480,787544,790602,796169,796305,802014,808017,813651,820408,826824,832618,832820,838800,844252,849494,854545,858963,864058,864058,605336.0
Nayagarh,329113,332662,337745,345595,351629,356575,360810,360941,368022,375822,383545,389300,396593,404699,405107,407036,413333,421930,426110,426452,426561,426664,434249,437551,437732,442103,448382,453221,453734,459043,467497,476305,485897,495018,504525,506873,516106,525842,534456,542932,546804,553753,555494,562172,569948,578385,586417,601934,608909,610001,621250,632125,641986,653081,662687,670937,671463,671463,681080,690553,694262,694727,700786,701165,709580,715164,717441,719926,724725,730871,731643,737667,742841,747808,752340,753679,756508,756589,760817,765681,770022,775231,781179,785911,786498,790302,795284,799716,807814,811536,816072,816218,582480.0
Nuapada,231312,238712,245462,248289,254992,262617,266882,267226,276024,284740,291330,299036,307670,314278,314596,321335,326149,331129,335516,337297,337854,338103,344055,347228,349025,349454,353752,357968,359008,364377,369321,372044,373848,379088,383150,383753,387714,390913,393339,395201,395625,395736,395736,398080,400332,403224,406992,412814,414999,415606,421700,427535,431631,436556,442144,446349,446516,450729,454386,457028,461910,466280,469433,469509,473067,475990,478237,480837,483510,485565,485759,487601,488853,489783,490982,491856,493336,493448,497505,500992,503849,507553,510763,513663,513821,516828,519611,521891,525569,528767,531869,531933,406827.0
