District,01-05-2021,02-05-2021,03-05-2021,04-05-2021,05-05-2021,06-05-2021,07-05-2021,08-05-2021,09-05-2021,10-05-2021,11-05-2021,12-05-2021,13-05-2021,14-05-2021,15-05-2021,16-05-2021,17-05-2021,18-05-2021,19-05-2021,20-05-2021,21-05-2021,22-05-2021,23-05-2021,24-05-2021,25-05-2021,26-05-2021,27-05-2021,28-05-2021,29-05-2021,30-05-2021,31-05-2021,01-06-2021,02-06-2021,03-06-2021,04-06-2021,05-06-2021,06-06-2021,07-06-2021,08-06-2021,09-06-2021,10-06-2021,11-06-2021,12-06-2021,13-06-2021,14-06-2021,15-06-2021,16-06-2021,17-06-2021,18-06-2021,19-06-2021,20-06-2021,21-06-2021,22-06-2021,23-06-2021,24-06-2021,25-06-2021,26-06-2021,27-06-2021,28-06-2021,29-06-2021,30-06-2021,01-07-2021,02-07-2021,03-07-2021,04-07-2021,05-07-2021,06-07-2021,07-07-2021,08-07-2021,09-07-2021,10-07-2021,11-07-2021,12-07-2021,13-07-2021,14-07-2021,15-07-2021,16-07-2021,17-07-2021,18-07-2021,19-07-2021,20-07-2021,21-07-2021,22-07-2021,23-07-2021,24-07-2021,25-07-2021,26-07-2021,27-07-2021,28-07-2021,29-07-2021,30-07-2021,31-07-2021,Mean Vaccination
Baksa,38847,39012,40756,42729,43367,44572,45701,46874,47126,49225,50448,50813,51639,51892,52218,52632,53576,54595,54811,55013,55050,56451,57060,58218,59094,59471,59815,60285,61752,62073,62766,63761,63842,64090,64363,64588,64710,64924,65225,65361,66923,68962,69807,70021,70546,70702,71284,72399,75120,76086,76043,84018,88391,96558,99995,123436,126049,126055,128679,129055,129264,129381,141645,145139,145232,145480,145522,145567,145597,145618,150228,150316,151818,152006,156101,157445,157832,161775,163318,166296,169325,170677,173951,174186,174215,176058,180993,189204,191414,193567,195229,199492,99595.0
Barpeta,117852,117928,120537,122345,123305,123755,126515,129766,130058,131389,132134,132415,132862,134221,136419,137269,138159,139586,140814,142402,143831,145995,146227,147396,151304,152531,153842,155397,156485,156567,158114,158798,159247,159701,160521,160789,161012,161456,161802,162153,165771,166993,167479,167625,168874,170091,170955,173698,174945,175865,175845,188984,202375,216288,225169,334737,341081,341088,346233,347931,349027,368593,374137,375271,375309,376071,376595,376899,377341,382775,383195,383276,398804,402184,409148,409694,419797,420113,420117,424737,425195,426619,429938,432033,432053,435409,450575,454489,454928,457441,458192,470193,252990.0
Biswanath,39062,39346,41575,42547,43337,43926,46440,48486,48485,49639,51469,52979,53601,53845,55340,56716,56888,56946,58351,58776,58952,59985,61567,63438,65465,65875,67502,70535,71546,71837,72700,74231,75029,75409,76300,76874,76941,77976,78981,79660,80687,83155,83155,83151,83974,85411,86074,87410,90327,93271,93323,104160,108660,119100,123498,148814,151806,151806,154406,154608,154608,158955,163508,168294,168413,172368,172377,172377,172388,181959,192004,202681,212197,212316,216288,217321,219445,222578,222578,232963,238615,243735,255266,267088,278034,281396,291260,301873,308476,308881,311747,311903,128470.0
Bongaigaon,51885,52115,52959,53937,54442,54673,55733,57363,58885,60046,61452,61863,62606,62867,66095,66389,67465,67830,69799,70829,71485,72396,74298,75115,76218,78406,78947,79794,80208,80458,80894,81534,81888,82477,82879,83271,83395,83664,83955,84127,87344,88144,88255,88270,88491,88725,88834,89316,93840,97131,97211,105120,109986,119338,123246,157468,161027,161027,164640,164700,164732,170431,175507,180235,181324,181348,181348,181348,181348,183013,185722,185722,187532,190174,193597,195951,199278,202438,202592,205543,208062,209415,212413,212413,212413,214873,220222,226564,229062,231175,234274,239318,124415.0
Cachar,82970,84370,86413,89631,90501,93750,96796,98342,98635,99569,100475,101150,102454,103526,105099,105741,108036,110055,111002,112592,114517,116402,116985,119019,121232,122885,125274,127271,129112,129300,131453,133408,137069,141077,142439,145376,147220,158697,173914,188315,198204,199109,200734,205867,208516,209239,211369,216766,225227,231311,234431,256776,276193,295555,301419,352023,360336,361441,367187,370510,371304,375036,387760,399453,402958,405811,407016,407435,408146,408634,411265,414541,423253,423854,431577,433610,433916,437916,439044,441804,448057,448491,450672,454922,457975,461158,467370,473600,474253,476000,481312,483328,258976.0
Charaideo,26709,26847,27964,29208,29484,29823,31355,32409,32407,33503,34728,34845,34980,35011,35530,36529,37729,38036,38118,38118,38118,38118,39527,41004,42177,42440,43265,43396,45279,45933,47215,48438,49306,49456,49566,49622,49676,49941,50065,50150,51111,52092,52169,52224,52955,53541,53960,54837,55323,56636,57052,60956,66012,70559,72640,88478,90684,90684,92992,93161,93172,96233,100379,104778,104926,105067,105266,105266,105430,105430,106780,106838,110970,111251,114003,114747,117048,119275,119600,120048,122274,122379,128320,136755,145551,147912,156334,165708,170217,176102,179569,182351,74936.0
Chirang,23626,23626,25049,26370,26637,27639,28621,29487,29477,30620,31471,31535,32325,32587,33322,33512,34959,36076,36158,37038,37331,37461,37475,37705,37949,37974,38825,39640,40199,40198,40384,40819,40810,41033,41282,41561,42120,42529,42962,43032,43519,44806,45981,46152,46704,47536,47646,47960,48421,48837,48829,52433,57226,62431,65149,85889,87969,87969,90202,90617,90881,94677,99141,101840,101963,102352,102407,102440,102490,102750,104813,105053,108108,108572,110215,111962,114033,117343,117538,119312,121862,122872,124964,125424,125424,126298,128987,134007,134829,137304,137346,137199,68284.0
Darrang,53545,54003,56404,57780,58774,59532,61279,63072,63467,65631,67527,68548,69158,69345,71845,72423,74976,75759,76284,78375,79238,79542,80658,83235,85339,86562,87091,88589,90323,91080,91702,92160,92240,92771,93620,94519,94738,95375,96278,96793,98368,99447,100966,101291,102126,102929,103448,104845,109257,111085,111275,120231,124573,131867,136487,169312,172337,172337,175221,175287,175351,185319,191173,191882,191904,191954,191985,192046,192108,193672,195167,197573,198451,202551,207710,208156,211367,214613,214613,217990,221202,222182,223892,225508,225619,227927,233624,240183,241539,244553,244613,249434,134762.0
Dhemaji,55461,55533,56182,56423,56796,57182,59167,60898,60916,63417,64697,65080,65449,65776,67015,67610,69440,71225,71836,73138,74336,74765,74774,76582,77538,77835,78456,78808,81893,83358,84578,85374,85511,85639,85640,85940,85939,86462,86659,86790,88092,89365,90545,90544,92034,92823,93273,97553,98902,102104,102546,111370,115217,125458,132744,162381,165822,165830,168892,169088,169112,174079,184164,184866,184866,184874,184905,184927,184957,185628,188982,189280,202492,208579,210280,213457,214558,219885,220289,224751,227827,227950,233783,235265,235721,236387,244723,250281,250588,250681,253922,254888,131214.0
Dhubri,67388,67754,69776,71865,73472,74744,76266,78690,79876,81877,83341,83487,83532,83529,84346,85403,86444,87273,87584,87645,88471,89821,90851,91917,92535,92874,93838,94834,95832,96548,97023,97310,97655,97823,97927,98020,98061,98194,98710,99200,100400,101864,103119,103525,104894,105955,106631,107511,107938,108446,108548,121884,129870,144409,152085,196036,200102,200319,206476,206871,206891,215115,223729,230100,237390,240896,240906,240916,240916,240926,242607,245850,247253,247253,251018,254837,254938,258385,260860,261030,268018,268055,271751,275350,275390,275390,278839,285921,291486,291507,295581,295663,156885.0
Dibrugarh,106322,106584,111712,115615,116754,120356,123797,127766,128756,132943,136721,137254,139991,140412,143459,147485,150623,154041,155752,159702,163294,166399,169131,173536,176743,177891,178423,178698,181653,183484,186366,189379,191126,192758,193118,195989,198427,201123,211412,212302,216303,220267,224469,226058,230573,235373,236293,240883,248351,255780,257596,281214,299377,314942,317845,374292,386200,388752,392808,398115,399175,403445,415161,422833,428094,432250,434027,434746,435079,435369,439906,440865,448724,449083,454643,457277,457693,462730,466003,466626,471254,474053,486941,500079,514017,517048,526089,536922,543955,544900,549632,550859,294807.0
Dima Hasao,19574,19780,20230,20860,21278,21678,22484,22948,23182,23519,23702,23856,23981,24059,24954,25458,26375,26871,26967,27056,27102,27131,27139,27228,28266,29383,29491,29539,29572,29639,29699,29720,29731,29739,29745,29752,29755,29843,29963,29974,29996,30812,31310,31365,31627,32410,32959,33392,34458,35718,35995,39005,43953,45692,47452,61076,63009,63174,65585,65926,66083,68738,71921,73840,73842,75513,75989,76170,76471,76599,77320,78047,80064,80577,83175,84021,84874,85647,85649,86630,87352,87831,88626,89774,90932,91225,92186,93132,93832,94356,95084,95447,49642.0
Goalpara,49738,49920,51437,52805,53544,54896,56352,57644,57691,60016,61711,62089,63319,63342,64592,65809,67826,69460,69723,71473,72345,74596,74658,76644,78660,78812,80480,81675,81880,81882,82455,82675,82766,82944,83124,83265,83265,83369,83517,83560,84077,84484,84820,84813,85749,86592,86626,87692,88551,89469,89455,98293,108420,118716,123836,156290,160085,160126,163331,163837,163839,165863,178151,180940,180986,181924,181931,181964,181977,184016,186188,186192,191014,197023,198561,199020,204008,205431,205442,211801,212509,212580,218650,220645,221939,222706,235872,240128,240902,244800,245690,247253,125556.0
Golaghat,67597,67676,69299,71311,71693,72288,72715,74228,74532,76114,79156,79343,82005,82584,83850,85767,87315,88236,89817,91103,91569,91608,92257,95074,97275,98005,99062,101731,102922,103312,104108,104451,104647,104676,106172,107922,108497,109211,109172,109239,111584,112696,113155,113193,114985,117674,118856,119717,121180,123259,123265,135807,140080,152927,155719,193750,199739,199889,203351,204797,205237,208467,218280,227609,227679,232579,236362,237694,239405,241037,245497,259379,291587,301280,304152,306745,310285,318010,318114,330148,343770,343944,359634,375817,383373,394472,408116,415549,417255,422296,422650,422839,178831.0
Hailakandi,39327,39696,40806,41737,42199,43087,44493,45860,46679,47697,48982,49157,49448,49477,50201,51061,52970,54870,55734,57314,58821,60299,61235,62313,62774,62927,63541,64264,65816,67448,68478,69003,69085,69662,69848,70107,70548,71003,71562,71856,73041,74767,75687,76086,76968,77662,77935,80017,82794,85279,85865,95529,104349,109780,112854,136161,143478,143552,146659,147041,147165,150915,155030,158874,159041,164040,164259,164269,164279,164279,166515,166533,170558,170694,172946,174370,175443,180956,181360,183796,186363,186861,187182,191210,191220,193103,197654,202130,203587,204790,208765,209645,108530.0
Hojai,59306,59630,61767,62878,63033,63222,64653,65947,66103,67598,69109,69616,70296,70297,71577,71577,73764,75964,76730,77332,77759,78803,80013,81530,83512,83960,84992,86983,88913,90192,91876,93038,93224,93935,94350,95286,95601,96341,96751,96799,98265,100045,100830,100898,101665,102545,102739,103981,106843,108844,109069,118688,125419,140196,146426,190070,194543,194543,198273,199042,199683,209337,217004,222277,222402,222719,222935,223071,223158,223297,225562,225562,231267,236547,240689,244094,246881,249354,249408,254845,257228,257556,259984,261493,262625,262625,270689,277850,278650,283883,285198,285794,148053.0
Jorhat,77897,77922,81706,84905,85734,87508,89952,91891,91888,93690,95781,97202,99029,100532,101812,103832,105871,107126,107436,107495,107541,107537,108221,111264,113415,114118,114598,114848,115081,115079,117636,120335,121524,122249,122847,124265,124805,125346,126100,127574,129268,131761,133797,134220,136118,138182,139561,140888,141572,143833,145343,155702,166368,181293,186036,233022,239083,240549,243644,244763,245555,251082,257413,263657,263964,271272,272472,272501,272502,272502,281670,290836,306084,307892,312245,315100,317495,324841,325124,334023,336939,336972,350991,367979,380841,382329,395858,409215,416799,422907,423985,435358,196380.0
Kamrup Metropolitan,204004,206480,212041,217749,220452,226838,235954,246679,253144,263394,273531,282627,291984,298748,307380,313920,325565,337125,346448,357487,370119,379375,386777,397348,408310,417072,428087,435184,439615,441570,444876,448212,451104,460225,470811,476268,477816,480707,484735,487755,498132,511096,534103,551201,565022,574754,582904,595643,611144,626774,632962,658233,684064,708580,723199,868014,881539,884991,894875,898280,901861,919282,929086,935652,937585,940730,942926,944190,945643,954769,964564,966922,974309,981524,993573,1004005,1017607,1029369,1032130,1044268,1056532,1063257,1076804,1091206,1102121,1106254,1120290,1134513,1142739,1153700,1161093,1170175,656866.0
Kamrup,130250,131322,136624,139526,141599,142351,143549,148800,152076,155815,159398,164042,167454,170008,173943,177172,180603,182862,184272,186962,189629,193142,197309,201138,205226,207683,210383,212288,213837,214156,216280,219265,221106,225854,230202,233170,233786,237437,240922,242405,243783,247713,251578,254013,256041,257090,257877,260010,261991,263926,264130,277870,281937,289648,294183,361261,366718,366733,370738,371162,371434,380793,388973,395205,397077,398241,399027,399142,399382,399772,402118,403539,412710,413188,417351,423519,426648,431411,432960,444923,455456,457601,470980,486976,493963,495155,513891,532792,540786,548040,551217,552805,299449.0
Karbi Anglong,38267,38388,38767,39448,40066,40694,42027,43463,43784,44392,44706,44938,45051,45142,45356,45478,47000,48332,48616,49018,49137,49298,49295,50704,52159,53112,53755,54101,54621,54886,55238,55428,55701,55928,56206,56622,56900,57110,57430,57631,58054,58408,58832,59128,59545,60790,61688,62467,63289,64416,65344,68065,69946,74081,75938,97662,99300,99432,101044,101364,101652,107354,112379,112645,112677,112741,112817,112849,112863,113165,114729,117478,119094,120065,123175,123701,126339,128969,129234,132101,134895,135071,136617,138461,139721,140387,142297,144743,145412,147951,150224,152445,81209.0
Karimganj,50537,51509,52981,53903,54516,55380,57559,60219,60952,61847,63121,64507,65799,66554,68470,69023,70821,73077,73475,76001,77512,78544,78808,80142,81208,81804,82551,83206,84593,85678,88109,89011,89261,89777,90112,90841,91259,91685,92322,92636,93297,95134,96975,97193,97929,99300,99600,100091,100609,101834,102496,111411,124993,132266,136198,167530,174995,175588,179495,183354,183756,183962,193867,203697,204858,207167,207740,207810,207874,207917,209431,209450,214263,215716,216948,220217,224481,225132,225133,229334,230047,230084,235465,240638,241327,241920,245826,252192,253060,255088,257906,259147,136751.0
Kokrajhar,43887,44247,45862,47152,47776,48102,48897,50758,51589,53290,53687,54707,55644,56053,57948,59761,60073,61043,61952,62630,63112,64016,64395,65084,65974,67107,68296,69085,69754,70046,70407,71102,71388,71913,72494,72684,72816,73392,74052,74110,74741,75686,77468,78919,80191,80789,81010,82136,83287,84653,85716,91416,95735,102732,104911,134386,137742,137911,140835,140948,141048,146399,153241,157260,158145,158618,158772,158772,158772,159081,162230,162231,164841,165541,169804,170616,173152,174937,174949,177913,179283,179283,184867,185824,185944,185944,189925,196639,196738,199506,199549,199506,108226.0
Lakhimpur,63698,63846,66160,67226,67829,68504,70865,72704,72705,77451,78592,80322,80668,80935,82132,83093,84358,84539,85644,86642,87697,87750,88659,91667,93841,94198,95588,97525,99214,99502,99922,100110,100317,100555,102642,104408,104518,105557,106761,107146,107389,108797,110264,111472,112085,113317,114817,116961,118122,118906,118900,130219,135333,150697,156924,196244,199783,199784,203610,203770,203809,211066,218617,225626,225626,225748,225780,225802,227212,227299,234896,246233,267884,269522,277608,277619,281710,284034,284247,293972,306163,309121,324226,340865,349633,349807,362298,375339,378738,379514,383695,384228,168378.0
Majuli,21412,21586,22179,22729,22932,23466,24616,25637,25851,26578,27127,27229,27610,27694,28474,29298,30100,30415,30535,30775,30963,31020,31750,32685,32939,32975,33153,33641,34284,34687,35352,35766,36047,36383,36829,37025,37223,37461,37690,38047,38343,38972,39930,40103,40489,40901,41187,42332,42983,44012,44022,47071,50083,53111,54261,67180,69250,69250,71002,71105,71185,71205,74334,78852,79284,80665,80775,80895,80895,80895,83828,83958,85087,85167,87245,88545,88715,92190,92256,93630,97376,97654,101131,101195,101195,101562,103693,105582,107333,108256,109763,109918,55783.0
Morigaon,47871,48893,50551,52252,52803,53654,56836,57952,58730,59663,60413,61035,61645,61913,62685,65721,66467,67440,67906,70110,71390,73647,74364,75030,75483,75797,77270,78229,79069,79524,82204,82704,82782,83196,84616,85286,85406,85844,86261,86248,86900,89529,91185,91218,91684,92392,92774,94814,95989,98139,98420,106856,113210,121032,125485,153748,157158,157160,160283,160462,160539,168406,176460,177714,177719,177760,177760,177770,177811,185978,194792,203084,210331,218165,221830,222598,229126,231462,231617,238845,239661,239865,248793,259194,268944,269969,279579,289006,293005,301990,308015,315411,134136.0
Nagaon,118753,119047,122677,126778,128824,129729,133087,136367,136494,140763,143059,144110,145190,145549,147350,147345,149284,150842,151644,152257,152887,153433,154635,155843,157748,158881,159603,160903,162139,164038,164500,166384,168278,170110,172149,174268,175941,179598,184671,188822,196904,205276,211622,216259,218011,220108,225338,231525,237342,240734,241225,258125,267884,287371,295882,361124,364951,364951,371641,371825,371964,379690,389514,400283,401302,409940,416962,418657,420428,423252,426149,426149,447478,456825,462643,465878,470437,474984,475738,483202,490600,493863,508309,522422,536923,536923,542639,554672,573431,578033,581854,586194,289233.0
Nalbari,45020,45310,45837,47093,47632,48189,49668,51902,52250,54096,54692,55278,56410,56552,57998,58299,59570,60822,62065,62317,62836,64627,64673,65390,65724,65860,68423,70315,71977,72029,72555,72909,73259,73433,74319,74968,75218,76048,76697,76899,78680,80230,81379,83421,84408,85388,85805,87381,88129,88351,88354,97708,103958,111485,115214,138948,141201,141201,144243,144349,144438,148215,152101,155952,159807,161014,161020,161020,161034,162580,165029,166008,167256,169912,171225,171324,174444,176221,176433,179803,182236,182401,185079,186054,186054,190209,195339,201511,202596,204946,204946,206234,110559.0
Sivasagar,57541,57544,59094,60604,60829,61512,63516,64487,64486,66351,67166,67315,67774,69397,70888,71734,73633,74873,75343,75347,75344,76160,76153,78013,79254,79596,79581,80221,82381,82388,83591,84143,85283,85737,86436,87336,87884,88473,89166,89662,91470,92474,93545,94102,95953,97600,98449,100255,101668,103783,104153,113495,123578,134925,137854,172003,176558,177082,180699,184072,185456,185556,192766,196151,196153,199154,199652,199955,199957,200931,206417,214926,225853,228991,231601,237328,238984,245391,245394,249977,257411,258290,267360,277302,287708,291288,301958,312183,314405,321264,325519,328919,144393.0
Sonitpur,92061,92821,95224,97420,98788,100487,103440,106536,106641,109252,111049,111825,113487,114762,116985,119123,121600,123094,123741,124912,125754,126855,127659,129734,130602,130935,132015,133086,133800,134156,134499,135611,136660,137941,140635,143392,146113,148768,151035,151866,154326,157262,160910,162675,166229,168810,169800,171935,179629,187155,189924,207162,215252,239548,249080,335547,347120,348895,356633,358491,359723,369529,377916,379041,379119,379791,380242,380776,381345,390188,401439,425181,447345,449598,454334,455064,461895,467498,467966,476490,484704,493022,503157,514378,523284,528722,541932,555273,562313,566720,569096,583391,262513.0
South Salmara Mankachar,6592,6592,6791,6984,7099,7243,7411,7779,7819,8241,8605,8697,8731,8731,8778,8817,8890,9204,9512,9920,10272,10642,10941,11260,11620,11902,12228,12445,12655,12842,12955,13120,13250,13465,13631,13939,14215,14655,14812,15069,15457,16042,17056,17832,18613,19418,20164,21041,22382,24310,25157,28301,29858,34305,36360,42371,42499,42499,45293,45390,45397,49448,54056,55761,55764,55764,55800,55816,55816,55906,56053,56061,57944,58274,58445,61513,61553,64787,64796,68459,69131,69131,69131,72517,73516,73516,78585,83564,84012,86235,86254,86265,33282.0
Tinsukia,69838,70072,72248,73822,73909,74757,77927,80096,80290,83749,86030,86356,86780,86921,88937,88956,90894,93428,95045,95773,95911,95911,98169,100517,102268,102371,103081,103801,104823,105994,110737,112492,113488,114645,115724,121031,126334,132253,136959,137839,144235,150914,156030,156379,158433,160334,162371,167393,171447,177832,180031,199473,208641,225037,230388,267034,272396,272446,276947,277118,277295,279559,290219,300494,301980,303449,303663,303731,303841,307801,308128,308421,310755,310764,316877,317693,317781,323919,325446,325901,335753,336524,343290,344278,344421,347014,351018,358746,363104,367167,374641,377434,198763.0
Udalguri,40358,40357,41761,43014,43453,44114,45170,46057,46066,47019,47503,48161,49071,49691,49978,50017,51776,53348,53903,55467,56932,57505,57605,58419,59061,59524,60066,62009,63528,63528,63689,64420,64713,65272,66019,66330,66452,66954,67305,67488,67854,70399,71040,71164,71659,72002,72263,72750,74463,77019,77633,83558,86914,93542,97489,119668,121912,121912,124193,124193,124193,132483,139290,139832,139832,139840,139851,139865,139869,139869,143552,143553,144452,144875,148630,148660,152338,152426,152426,156660,156690,156690,160794,160994,160994,161922,167782,171482,171550,173555,173646,181080,96026.0
