District,01-02-2021,02-02-2021,03-02-2021,04-02-2021,05-02-2021,06-02-2021,07-02-2021,08-02-2021,09-02-2021,10-02-2021,11-02-2021,12-02-2021,13-02-2021,14-02-2021,15-02-2021,16-02-2021,17-02-2021,18-02-2021,19-02-2021,20-02-2021,21-02-2021,22-02-2021,23-02-2021,24-02-2021,25-02-2021,26-02-2021,27-02-2021,28-02-2021,01-03-2021,02-03-2021,03-03-2021,04-03-2021,05-03-2021,06-03-2021,07-03-2021,08-03-2021,09-03-2021,10-03-2021,11-03-2021,12-03-2021,13-03-2021,14-03-2021,15-03-2021,16-03-2021,17-03-2021,18-03-2021,19-03-2021,20-03-2021,21-03-2021,22-03-2021,23-03-2021,24-03-2021,25-03-2021,26-03-2021,27-03-2021,28-03-2021,29-03-2021,30-03-2021,31-03-2021,01-04-2021,02-04-2021,03-04-2021,04-04-2021,05-04-2021,06-04-2021,07-04-2021,08-04-2021,09-04-2021,10-04-2021,11-04-2021,12-04-2021,13-04-2021,14-04-2021,15-04-2021,16-04-2021,17-04-2021,18-04-2021,19-04-2021,20-04-2021,21-04-2021,22-04-2021,23-04-2021,24-04-2021,25-04-2021,26-04-2021,27-04-2021,28-04-2021,29-04-2021,30-04-2021,Mean Vaccination
Gir Somnath,10155,10254,11720,12416,12828,13140,13247,13511,13637,13674,13762,13785,13825,13832,13834,13847,13854,13857,13859,13859,13859,13859,13859,13859,13860,13363,13363,13363,13363,14228,14951,16301,18490,20788,20807,22818,25388,26998,27023,29736,31200,31200,33278,33322,36278,37873,39350,41765,43067,45427,48129,49667,51927,54468,56293,56472,56472,57752,59556,61822,64908,67464,70978,73099,75570,80651,87707,95043,102277,107300,112585,118114,123708,126850,131384,134621,137217,139142,141347,143028,144666,147219,148496,149383,152237,154735,156511,158438,160687,56785.0
Jamnagar,4975,5053,5395,7318,9417,9525,9591,10848,11432,11972,12605,13202,13914,14253,14424,14882,15358,14568,15563,15563,15563,15563,15564,15564,15564,15287,15287,15287,15287,16586,18312,21031,24414,27439,27446,29634,31105,31156,31156,33669,34890,34890,36484,36491,23046,24638,26321,27948,28593,29843,31366,32282,33416,34460,35800,36047,36047,36957,37698,88379,96805,102744,108250,111446,113766,116045,121809,128632,133511,136436,140006,142399,143921,145479,146829,147994,149028,150478,151728,152598,153796,154937,155720,156109,156813,157340,158122,159315,160434,60886.0
Jamnagar,5390,5410,5483,5937,6403,6511,6786,7114,7612,7761,7961,8150,8219,8287,8337,8337,8337,8298,8410,8424,8425,8431,8443,8445,8463,8472,8472,8472,8472,9497,9951,11114,12269,13615,13615,15179,16571,16572,16583,18382,19479,19480,20901,20902,39880,43146,46746,50472,59385,63639,69934,74242,77472,80378,82613,83055,83092,85047,87079,41401,46402,50642,55629,58675,61441,65223,68836,72913,75750,77700,79315,80510,81358,82136,83183,84112,84730,85500,86179,86642,87378,88515,89591,90311,91269,92037,92846,93919,95105,42840.0
Junagadh,11069,11699,11881,12002,12083,17869,17908,18045,18428,18839,18976,19007,19016,19016,19017,19029,19030,18612,19030,19030,19030,19030,19032,19032,19032,17617,17617,17617,17617,20975,22256,24627,26841,27792,27795,29697,31147,31534,31534,33297,34463,34463,37129,37138,14032,15164,15926,16810,17577,18237,19152,19908,21075,21752,22576,22588,22588,23341,23863,97223,106928,113992,120188,125760,130289,138059,145005,151620,156442,158686,162006,164191,165680,167559,168947,169758,170117,171154,172098,172513,173571,174735,175515,175892,177278,178236,178633,179160,179801,67096.0
Junagadh,2316,2316,2316,2316,2998,3639,3639,3747,3750,3750,4150,4158,4161,4161,4161,4161,4203,4201,4206,4206,4206,4206,4206,4206,4206,4205,4205,4205,4205,5280,6520,7511,8513,9269,9290,10114,10829,10864,10920,12012,12714,12714,13413,13415,39814,43665,48028,56139,60993,65871,72824,76784,82991,86930,91030,91113,91117,93675,96031,27123,32001,34701,37784,38950,39950,41795,43577,44910,46499,47842,49195,49783,50248,50718,51124,51635,51831,52140,52447,52610,52911,53309,53792,53994,54399,54873,55333,55889,56595,31447.0
Kheda,20141,20816,22260,27328,28162,28811,28960,29365,29672,30641,31206,31445,31736,31738,31799,31800,31809,31924,31980,31980,31980,31980,31980,31980,31981,30375,30375,30375,30375,35233,36534,40047,43652,47452,47453,50821,54338,56775,56804,59889,62513,62513,66282,66310,69970,76162,82932,90084,95151,101558,110782,116939,122925,129372,138869,145147,145640,151518,156545,160671,176592,190603,210026,216179,220858,231611,240498,247576,254450,262324,270091,276819,280226,282819,283943,287589,289509,293081,296699,298881,300895,302103,304165,305564,308499,310818,311614,312874,315454,128407.0
Kutch,22752,23153,23678,28094,29358,30428,30975,31473,31805,32016,32271,32365,32603,32606,32609,32621,32750,32799,32884,32926,32944,32979,33217,33321,33347,33346,33346,33346,33346,40083,41364,48432,55324,61090,61306,68330,73718,75935,76102,82438,86484,86595,91353,91464,96623,102889,108365,115443,119928,124351,132217,136195,142669,147051,151769,152531,152553,155182,157906,158514,168385,176008,189178,195156,199963,206844,213671,218818,223819,227748,232607,236241,239675,242315,245215,247602,249207,251326,253891,255407,257542,259475,262383,263748,265449,268309,269874,271866,274924,123261.0
Mahisagar,10669,10679,12397,15897,16190,16234,16255,16313,16365,16447,16545,16546,16771,16771,16771,16771,16771,17124,17125,17125,17125,17125,17125,17125,17125,17001,17001,17001,17001,21587,21994,24847,26109,28689,28727,32034,34471,34746,34746,37849,39450,39450,42131,42262,44904,48403,52776,58550,64318,66986,73618,78864,85922,92286,98709,101250,101649,105601,108797,106573,118748,128298,146398,157136,163935,170365,177802,184871,191639,196236,200769,204561,206642,210111,212140,215527,217362,220780,224028,226751,229420,231745,233385,234413,236072,237822,238377,239365,240499,91493.0
Mehsana,21217,21640,23897,30047,30706,31283,31363,31534,31652,31863,32109,32229,32422,33100,34822,35502,35985,35470,38075,38083,38268,38356,38368,38369,38371,30724,30724,30724,30724,34794,38851,44239,52028,57434,57436,62665,68385,68751,68751,72228,73457,73463,77475,77493,83096,88376,92266,97622,112007,119854,133380,141050,153140,163139,171879,174305,174351,181508,187332,189573,205406,217465,233977,242384,249424,260095,269960,276849,284283,291378,297091,302495,305968,309923,313522,316671,319277,321543,324273,325814,328329,331424,334040,335927,339091,342127,344801,347560,351698,144503.0
Morbi,5150,5155,5562,7544,9505,9836,9943,10377,10541,10781,10904,11024,11273,11373,11477,11602,11937,11749,12247,12248,12248,12252,12253,12253,12253,10038,10038,10038,10038,12154,12299,13827,15156,16283,16283,17777,19008,19008,19008,20612,21842,21842,22874,22876,23835,25183,26362,28250,33324,37376,42169,45758,49445,52677,57374,58394,59088,62654,65510,67800,72279,75929,82086,85293,86776,88085,90183,91840,93014,93810,94686,95649,95967,96602,96903,97432,97691,98029,98591,98806,99243,99657,100070,100332,100827,101740,102598,103595,104979,45510.0
Narmada,5166,5266,5386,5712,7334,7647,7684,8527,10016,10327,11001,11717,12421,12906,12985,13119,14714,14254,15394,15394,15799,15799,15799,15799,15799,14377,14377,14377,14377,14744,15191,15587,15922,16254,16255,16644,17041,17297,17326,17876,18429,18455,19056,19063,19908,21699,23618,26556,29181,31133,35127,37523,41757,45244,48609,48981,48981,51982,54757,52789,58111,61755,66995,70049,73301,79261,83262,86270,89404,92956,96492,99944,103268,105987,107725,110121,112027,114360,116389,117935,119538,120526,121806,122982,124096,125268,125936,126482,127121,46919.0
Navsari,13997,14094,17074,17468,17960,18193,18260,18462,18838,19051,19349,19442,19442,19442,19443,19443,19451,19475,19476,19476,19485,19485,19485,19485,19485,19113,19113,19113,19113,23563,24242,27363,31588,33840,33840,36976,39366,39586,39681,43014,44266,44266,46856,46859,49927,53414,57288,62603,68984,75853,85151,91739,99253,107033,113872,115195,115421,120588,125835,134159,150348,160217,168894,172228,173333,174042,183946,191500,200663,205345,210365,216614,220516,224277,227404,229945,233441,236611,239956,242048,244711,247490,249770,250992,253172,254755,256853,259414,261855,100158.0
Panchmahal,12968,13007,13417,15091,16048,17990,19098,21710,22697,23433,24010,25171,25626,25922,25924,26326,26436,26360,26566,26566,26566,26566,26566,26566,26566,26107,26107,26107,26107,31831,32519,37387,42371,45615,45615,48192,50751,51182,51257,53812,57206,57212,60436,60474,65368,69949,74320,80567,87432,91744,100820,107066,114701,121788,129170,131712,131722,136056,140963,139723,149004,155814,166060,171357,177211,186117,195781,202538,209816,215933,223796,230604,234843,236281,236621,241982,246073,250593,254519,257787,259749,262410,265127,268587,270689,274186,275934,278330,280573,110100.0
Patan,11039,11552,13744,17027,18426,19005,19232,19952,20214,20492,20840,20995,21105,21105,21209,21210,21992,22044,22440,22440,22440,22440,22454,22454,22454,18138,18138,18138,18138,22195,22410,25996,29156,31230,31230,33592,36467,37135,37135,39020,39907,39951,41810,41822,44243,46842,48779,53743,60782,64901,71150,76788,81534,86061,89585,90934,90934,94642,97290,100600,108890,114094,118964,121957,124649,127315,132167,136011,137751,139997,142852,145115,147071,148730,150118,150433,151359,152464,153795,155848,158320,159822,160439,161253,163331,165901,168172,169733,171381,73221.0
Porbandar,5488,5524,5562,7433,7969,8062,8209,8284,8409,8619,8661,8733,8783,8783,8784,8809,8841,8714,8841,8850,8850,8852,8852,8852,8852,8664,8664,8664,8664,11730,12557,15224,17839,20038,20038,24068,27821,28405,28637,32426,34732,34732,36555,36555,39137,42294,44747,47109,47970,49920,53443,55985,58044,59928,61150,61239,61239,61970,62923,67511,79474,87757,97570,101508,104508,109008,114175,118679,122662,125701,128629,130675,131560,133158,134438,135587,136153,136947,137480,137845,138441,139020,139546,139831,140311,140730,141210,141808,142371,58011.0
Rajkot,13974,14145,14318,15291,18115,21097,21144,22307,22646,22975,23122,23737,23924,23938,24113,24618,24784,24193,24904,24945,24945,24951,24958,24967,24967,23326,23326,23327,23327,28167,30275,33499,36554,38148,38148,41839,44324,44324,44324,47148,48377,48377,53186,53198,61173,64408,67194,70555,72428,74921,78191,82921,90384,102810,116352,116381,116379,126429,136813,135434,148632,158065,168509,175013,179529,187871,196158,202633,206801,210114,212966,214943,215989,217397,218316,219046,219481,220450,221371,221851,222713,223602,224497,224847,225880,226741,227778,229003,230402,99322.0
Rajkot,13537,13783,14190,14732,16048,16603,16843,17044,17169,17232,17444,17739,18024,18139,18243,18542,18849,18317,18866,18885,18886,18901,18904,18924,18994,17924,17924,17924,17924,22817,26562,30587,34566,38500,38500,42070,45566,45591,45591,49717,53042,53042,56379,56390,59463,65855,70651,81533,90471,97224,105173,109696,115504,119982,123269,123951,123951,127071,130453,153423,166044,175885,186975,193104,197553,206583,214261,218538,223294,226397,228702,230600,232734,234010,235091,236312,237285,238237,239300,240279,241417,242853,244455,245477,247031,248497,250079,252075,254178,105959.0
Sabarkantha,15688,20023,20149,21148,21560,22112,22285,22534,23008,23530,23933,24176,24310,24310,24310,24315,24671,24584,25034,25068,25068,25082,25093,25093,25108,25107,25107,25107,25107,35534,36930,44876,51308,56439,56440,61063,65383,65678,65691,68869,70924,70975,73845,73850,77146,84236,89618,95805,102820,107722,113782,117973,123495,127640,132095,136986,137936,141532,145169,148763,158370,164466,170464,174843,177405,181270,186180,189997,193998,198253,202925,207763,210807,214168,216688,220571,222964,226100,229523,231814,234233,237143,239962,242189,245394,248241,250074,253774,256217,108415.0
Surat,13353,13621,14633,16744,17798,18380,18579,18910,19309,19874,20449,20716,21092,21116,21337,21556,21733,21742,22287,22412,22419,22446,22641,22659,22714,21340,21340,21340,21340,23823,24765,27147,29794,32489,32569,35091,38187,38317,38317,41166,43005,43096,45020,45035,142202,151810,160688,170712,177991,185182,193409,199462,206706,219437,239513,254305,264577,284763,310931,101474,109542,115457,124333,130343,135451,145265,153074,159469,164355,168320,172680,175961,177988,180555,182357,183986,184662,185662,186687,187485,188522,189952,191034,191515,192633,193562,194508,195519,197163,104976.0
Surat,51284,52290,53191,54407,55488,56276,57552,58265,58713,59496,60447,60718,61050,61217,61346,61439,61865,58449,61938,61981,61981,62006,62020,62066,62180,59215,59215,59215,59215,62773,66161,69793,73841,78598,78812,84772,91016,97404,102535,109678,116194,118776,126255,126353,48940,52502,56856,61361,61921,66228,71794,75709,80261,85944,90320,90540,90571,94641,99771,353750,403556,444570,488115,517372,536188,557606,580797,600388,618271,632033,643607,651665,660392,668241,675250,683620,690064,695755,701722,707351,712768,719429,725252,727955,733608,739325,745232,751340,754150,262519.0
Surendranagar,15968,16125,16390,16712,17345,17493,17493,17620,18790,19628,20244,20600,20664,20665,20665,20673,20680,20274,20764,20765,20765,20765,20765,20765,20767,20763,20763,20763,20763,24883,25027,26621,30018,33377,33413,37354,40425,40425,40425,45060,49184,49184,53680,53829,57236,62733,68694,75448,80718,85282,92624,95803,100694,104971,108960,110219,110481,112778,114736,110270,113023,114793,118096,119783,121254,123566,125310,127134,128715,130204,131799,132857,133629,134160,134572,134945,135181,135726,136180,136476,136838,137448,138109,138493,139302,139890,140665,142062,143052,72632.0
Tapi,7592,7887,10688,10741,10968,11204,11348,11442,11614,11971,12049,12106,12141,12141,12243,12373,12401,12266,12402,12407,12407,12408,12408,12408,12408,11652,11652,11652,11652,12402,12977,14988,17153,18858,18949,20478,22204,22290,22290,23687,24553,24600,25753,25767,27774,29702,31530,33707,37034,39423,43543,47506,52084,56795,60627,60738,60738,64197,68365,71337,76953,79925,85277,87431,89661,93185,96234,98514,100366,101875,103290,104519,105321,106084,106906,107460,107939,108571,109228,109574,110416,111576,112622,113461,114715,115921,116879,118102,119320,49888.0
Vadodara,18098,18329,19238,20015,21140,22405,23079,23672,25000,27513,28510,29420,29785,29890,29986,30187,30423,30183,31248,31276,31302,31384,31387,31387,31390,25665,25665,25665,25665,32314,35553,40697,46046,50327,50338,54776,58553,60129,60172,64805,67815,67815,71955,71998,88788,92662,96245,99383,100848,104301,107532,109561,112563,116603,122030,125069,125205,130767,136304,160543,174305,184558,192471,199334,205697,216516,223340,229535,235662,239530,243796,247520,250303,254290,256445,259305,260603,263055,266163,268237,271030,272976,276175,277450,279728,281881,282906,283991,285787,119362.0
Vadodara,29347,29668,29903,31106,31375,33802,33981,35471,36762,37972,38820,39364,40072,40294,41924,42059,42353,38774,43661,43696,43696,43698,43701,43704,43723,30387,30387,30387,30387,34135,38194,43173,49785,55735,55791,62144,67779,70466,70783,75216,79305,79318,83396,83407,77494,84419,92129,100491,107283,113030,121013,126837,135480,142469,148050,148648,148862,153302,156951,178303,196481,211081,216928,226712,232625,243550,253005,263416,273424,280324,286369,291598,296215,301032,305892,312427,316326,321124,325373,329248,333274,338318,343622,346921,352261,357592,362420,368562,373614,142962.0
Valsad,14818,15302,15547,15832,16911,17543,18807,20058,22400,24631,25684,26547,27004,27216,27280,27336,27488,27577,27915,27950,27950,27963,28057,28074,28078,26087,26087,26087,26087,30103,31551,35119,38346,40633,40636,43342,46154,46416,46416,49545,51617,51629,54503,54532,57069,60315,63911,73512,83567,90484,99387,103945,109600,114964,123620,125692,126073,131163,136094,139943,151490,159900,168617,174139,179380,185506,194493,200559,208103,212303,218187,222569,225510,228143,230799,232149,233671,235878,237565,238563,240244,241877,243858,244581,246763,249044,250301,252255,254067,105154.0
Ambala,9668,9832,10016,10140,10324,10550,10647,10986,11678,13300,15131,17101,17946,17947,19474,19492,20520,20447,22752,22761,22770,22800,22839,22900,23014,19231,19231,19231,19231,19651,19900,20373,20934,21378,21523,22409,23289,24202,24707,28600,33056,34164,46896,48062,57916,61757,65892,68332,70041,80857,90045,92038,95112,97815,99819,100057,100144,114942,121318,116490,128837,133258,138832,142138,145103,149084,155249,161263,166146,170665,174750,178913,184581,188615,192555,194974,196593,200403,204108,205272,205968,208579,210636,211829,213296,214427,216461,217931,219533,86109.0
Bhiwani,8610,8610,8610,8610,9027,9027,9027,9576,9984,10515,10598,10645,10645,10646,10698,10922,10997,10782,11094,11094,11094,11094,11094,11094,11094,11055,11055,11055,11055,11205,11294,11411,11853,11853,11902,12562,13044,13208,13271,14139,14267,14311,22063,22425,26792,27010,30462,32658,32804,40858,43734,44001,44195,46185,46730,46739,46739,53488,56811,53106,56980,58962,60993,63664,67117,71761,73849,75601,76827,81098,86923,94170,102418,105074,106942,108747,109757,111803,113616,114970,116322,117542,119040,120909,122194,123018,123500,124691,125390,45106.0
Charkhi Dadri,3000,3001,3005,3052,3130,3130,3177,3186,3299,3447,3476,3477,3483,3483,3484,3591,3591,3488,3626,3626,3626,3626,3626,3635,3635,3448,3448,3448,3448,3544,3564,3719,3766,3766,3766,3967,4042,4042,4042,4087,4087,4087,7583,7822,10472,11848,11927,12343,12343,17296,18586,18662,20123,20693,20881,20881,20881,24308,28051,29505,31630,32528,33982,35008,36037,37018,37601,40507,42826,46225,50269,53995,57967,58809,60053,62146,63428,65200,66352,66896,68117,69600,71360,72136,73206,74579,75032,76272,76811,23584.0
Faridabad,14165,14450,14587,15554,16074,16253,21517,24235,25145,25968,26690,27646,28293,28485,29745,30329,30978,30772,32373,32375,32375,32403,32436,32450,32456,31615,31615,31635,31635,32762,33702,35254,37014,38330,38429,40587,43775,45780,46857,50357,52461,53428,61440,61625,71340,76769,82482,85032,85502,96732,102965,106190,110735,113854,115794,116527,116878,124594,131046,130367,139846,145817,152544,160034,166696,174109,184390,193703,200943,209451,219355,228492,237802,243440,249620,254504,257965,263445,267723,270511,273317,278313,283427,286004,288787,291600,293280,295709,297129,111470.0
Fatehabad,6549,6550,6550,6725,7464,7501,7625,7722,8918,9982,10105,10368,10560,10672,10845,11007,11036,10956,11425,11425,11425,11425,11425,11425,11425,11362,11362,11362,11362,11396,11427,11472,11698,11762,11762,12205,13023,13173,13672,14713,15429,15444,20993,21100,23769,25297,26341,27063,27091,32863,37114,37395,38103,38892,39522,39527,39527,42898,43237,40942,42876,44037,45208,47385,48713,50871,53499,54967,56352,59606,63113,65886,69091,69407,70479,71653,72529,74031,74739,75772,77748,79176,80648,81327,82830,84182,84780,86018,87144,33814.0
Gurugram,60316,60316,61438,62647,63157,63909,63910,64901,65075,65095,65230,65278,65396,65397,65886,65893,65894,65223,66418,66635,67812,67812,67812,67812,67816,61873,61873,61873,61873,63788,64075,66145,68223,69510,69533,73430,77077,78902,81823,85146,86815,86893,94049,94098,100213,107516,113291,115046,115415,125837,134673,135946,142328,147577,149300,149603,149605,157575,168488,200205,220082,228502,232706,242858,249730,261141,275692,288759,298102,307007,321662,333002,344918,350275,357895,363757,366386,375698,381940,385525,390784,397947,403136,405071,405987,406462,410137,410893,410834,169366.0
